Code,GoodOrService,Weight
_0111101,Arroz,0.522366964
_0111102,Maíz,0.711087209
_0111201,Harina de trigo,0.055904629
_0111202,Harina de maíz,0.170135799
_0111203,Harina para atoles,0.143783212
_0111301,Pan,1.077537933
_0111302,Pan dulce,1.069826458
_0111303,Galletas,0.146922489
_0111304,Tortillas,3.941692351
_0111305,Productos de panadería/pastelería,0.064805182
_0111306,Otros productos de panadería,0.174884548
_0111401,Cereales de bolsa o caja,0.198206505
_0111402,Avena/mosh,0.087811323
_0111501,Espagueti,0.186721512
_0111502,Fideos en todas sus formas (Excepto macarrones y espagueti),0.25338584
_0111503,Chao mein,0.071823246
_0112101,"Pollos, gallinas y gallos vivos",0.036286131
_0112201,Carne fresca de res,2.455807926
_0112202,Carne fresca de cerdo,0.620050441
_0112203,Carne fresca de pollo,3.044390701
_0112401,Menudos de pollo,0.099730665
_0112402,Menudos de res,0.119783518
_0112501,Salchichas y productos similares de carne,0.307670364
_0112502,"Jamón (pollo, res, cerdo, mixto, etc.)",0.144916207
_0112503,Longanizas y chorizos (de todo tipo),0.2914781
_0112504,Medallones y milanesas de pollo,0.089201708
_0112505,"Tortas de carne (pollo, res y cerdo)",0.054496632
_0112506,Carne de cerdo marinada,0.134718266
_0113101,"Pescado entero, fresco, refrigerado o congelado",0.316853948
_0113201,Pescado seco,0.025935798
_0113301,Sardinas enlatadas,0.065723062
_0113401,"Camarones frescos, refrigerados o congelados",0.104357402
_0114101,Leche líquida entera,0.210339765
_0114201,Leche líquida baja en grasas,0.026172417
_0114301,Leche en polvo,0.230939736
_0114302,Crema de leche,0.251114304
_0114501,Queso fresco,0.602041836
_0114502,Queso crema,0.030033955
_0114503,Queso mozzarella,0.023041984
_0114504,Queso seco,0.025616272
_0114601,Yogur industrializado,0.063217918
_0114701,Bebidas lácteas en base a leche liquida,0.062069377
_0114801,Huevos de gallina,2.097248496
_0115101,Aceite de origen vegetal,0.45970756
_0115301,Margarina vegetal regular,0.047279105
_0116101,Aguacates frescos,0.202591453
_0116102,Bananos frescos,0.164186056
_0116103,Plátanos frescos,0.207385545
_0116104,Mangos,0.048618702
_0116105,Papayas frescas,0.094229329
_0116106,Piñas frescas,0.076741366
_0116201,Limones frescos,0.11024074
_0116202,Naranjas frescas,0.06547132
_0116301,Manzanas frescas,0.15197359
_0116302,Duraznos,0.032950822
_0116401,Fresas frescas,0.027152484
_0116501,Uvas frescas,0.030489824
_0116502,Melones frescos,0.041278002
_0116503,Sandías frescas,0.087713861
_0117101,"Repollo, fresco o refrigerado",0.074410758
_0117102,Coliflor,0.045900399
_0117103,Brócoli,0.05403119
_0117104,Lechuga,0.05610702
_0117105,Apio,0.029391644
_0117106,Hierbas aromáticas para cocinar,0.07412784
_0117107,Pacaya,0.028307352
_0117108,Hierbas naturales para caldo,0.151750336
_0117109,Chipilín,0.029361083
_0117201,Chile pimiento fresco,0.079797548
_0117202,Pepinos frescos,0.079079773
_0117203,Tomate fresco,0.948387032
_0117204,Güisquil,0.213201504
_0117205,Güicoy,0.03253763
_0117301,"Ejotes, frescos o refrigerados",0.116699484
_0117401,Zanahorias,0.162099541
_0117402,Rábanos,0.039937504
_0117403,Cebollas,0.479584206
_0117404,Maíz verde (elote),0.063866984
_0117405,Verduras frescas o refrigeradas limpias y cortadas,0.040308218
_0117501,Papas,0.599418309
_0117601,"Frijoles negros, secos",0.840408956
_0117602,"Frijoles colorados, secos",0.040192684
_0117603,"Otros frijoles, secos (piloy, pinto, blanco, etc.)",0.064556892
_0117901,Frijoles procesados y envasados,0.239252746
_0118101,Azúcar de caña,0.881035771
_0118301,Miel,0.021043398
_0118501,Pastilla de chocolate para hervir,0.050555485
_0118601,"Helado industrializado (base a leche, hielo, fruta, etc.)",0.075532458
_0118901,Otra confitería de azúcar y postres N.E.C. (No contiene cacao),0.040696279
_0119101,Sopas instantáneas,0.262391642
_0119201,Alimentos para bebé,0.086587915
_0119301,Sal,0.043748879
_0119302,Consomé,0.121060079
_0119303,Sazonadores y ablandadores,0.026070707
_0119304,Salsa de tomate,0.161134117
_0119305,Salsa tipo Kétchup,0.040000495
_0119306,Mayonesa,0.089268071
_0119401,Chiles secos enteros y molidos,0.089266852
_0119901,Bases para sopas,0.153411009
_0119902,Suplementos nutricionales,0.04502747
_0119903,"Snacks (excluye papalinas, plataninas, yucas, malangas, etc.)",0.222452377
_0119904,Hojas para tamales,0.025721947
_0121001,Jugos de frutas líquidos,0.347254663
_0121002,Jugos de frutas en polvo,0.035891967
_0122001,Café molido,0.169311991
_0122002,Café instantáneo,0.24747433
_0123001,Té de frutas y medicinales,0.045790226
_0125001,Agua purificada,0.385427472
_0126001,Gaseosas,1.359286259
_0129001,Bebidas hidratantes y energizantes,0.082856665
_0130001,Servicio de molienda de maíz,0.382231577
_0211001,Aguardiente,0.16010849
_0211002,Whisky,0.158412716
_0213001,Cerveza (todo tipo),1.279360539
_0230101,Cigarros,0.409248429
_0311001,Tela para ropa uso diario,0.029936732
_0312101,Chumpas para hombres (mayores de 12 años),0.080875477
_0312102,Suéteres de algodón para hombres (mayores de 12 años),0.042765093
_0312103,Camisas con botones para hombres (mayores de 12 años),0.159843055
_0312104,Camisas tipo Polo para hombres (mayores de 12 años),0.053413369
_0312105,Playeras para hombres (mayores de 12 años),0.081313725
_0312106,Pantalones de vestir para hombres (mayores de 12 años),0.081219229
_0312107,Pantalones de lona para hombres (mayores de 12 años),0.463370006
_0312108,Pantalones largos deportivo para hombres (mayores a 12 años),0.02369077
_0312109,Pantalonetas deportivas para hombres (mayores de 12 años),0.025821086
_0312110,Trajes formales (incluye los trajes formales tradicionales) para hombres (mayores de 12 años),0.030984379
_0312111,Calzoncillos para hombres (mayores de 12 años),0.140596129
_0312112,Calcetines para hombres (mayores de 12 años),0.089303449
_0312201,Chumpas y chaquetas para niños (mayores de 2 y menores de 12 años),0.050184541
_0312202,Camisas de vestir para niños (mayores de 2 y menores de 12 años),0.059030307
_0312203,Playeras para niños (mayores de 2 y menores de 12 años),0.036551904
_0312204,Pantalones de vestir para niños (mayores de 2 y menores de 12 años),0.032107855
_0312205,Pantalones de lona para niños (mayores de 2 y menores de 12 años),0.172338229
_0312206,Trajes formales (incluye los trajes formales tradicionales) para niños (mayores de 2 y menores de 12 años),0.0232959
_0312207,Calzoncillos para niños (mayores de 2 y menores de 12 años),0.050883623
_0312208,Calcetines para niños (mayores de 2 y menores de 12 años),0.036620238
_0312301,"Suéteres, mañaneras para mujeres (mayores de 12 años)",0.123572903
_0312302,Blusas formales para mujeres (mayores de 12 años),0.025409397
_0312303,Blusas casuales para mujeres (mayores de 12 años),0.205940262
_0312304,Pantalones de vestir de tela para mujeres (mayores de 12 años),0.061909114
_0312305,Pantalones de lona para mujeres (mayores de 12 años),0.247703321
_0312306,Vestidos formales y casuales para mujeres (mayores de 12 años),0.093302706
_0312307,Vestidos de fiesta para mujeres (mayores de 12 años),0.038473299
_0312308,Faldas formales y casuales para mujeres (mayores de 12 años),0.058554075
_0312309,Traje tradicional para mujeres (mayores de 12 años),0.59147742
_0312310,Prenda tradicional para mujeres (mayores de 12 años),0.261719136
_0312311,Calzones para mujeres (mayores de 12 años),0.184364895
_0312312,Sostenes para mujeres (mayores de 12 años),0.163126674
_0312401,"Suéteres, mañaneras para niñas (mayores de 2 y menores de 12 años)",0.033642995
_0312402,Blusas formales y casuales para niñas (mayores de 2 y menores de 12 años),0.068134358
_0312403,Pantalones de lona para niñas (mayores de 2 y menores de 12 años),0.098489937
_0312404,Traje tradicional para niñas (mayores de 2 y menores de 12 años),0.085875479
_0312405,Prenda tradicional para niñas (mayores de 2 y menores de 12 años),0.030828734
_0312406,Vestidos formales y casuales para niñas (mayores de 2 y menores de 12 años),0.068830985
_0312407,Calzones para niñas (mayores de 2 y menores de 12 años),0.04377868
